1778905347.255380532	cpu6 118817 22166 113186 8579866 607 33836 41383 0 21 0
1778905347.255380532	cpu7 69891 12898 48989 8784267 509 3762 903 0 31 0
1778905348.491950715	cpu  1577840 389912 2235185 65951372 18305 622916 185758 0 534 0
1778905348.491950715	cpu0 278840 84457 527207 7569903 3655 309886 42952 0 109 0
1778905348.491950715	cpu1 310524 84287 496454 7728895 3748 144417 30307 0 94 0
1778905348.491950715	cpu2 223103 54445 305670 8220563 3085 39381 28911 0 102 0
1778905348.491950715	cpu3 224875 52717 311551 8221371 2963 39183 24263 0 124 0
1778905348.491950715	cpu4 235694 53833 322694 8203668 3101 41553 13445 0 30 0
1778905348.491950715	cpu5 116068 25107 109391 8642652 633 10894 3589 0 20 0
1778905348.491950715	cpu6 118830 22166 113206 8579957 607 33837 41383 0 21 0
1778905348.491950715	cpu7 69902 12898 49009 8784360 509 3762 903 0 31 0
1778905349.713946680	cpu  1577966 389916 2235479 65951898 18305 622928 185764 0 534 0
1778905349.713946680	cpu0 278866 84457 527272 7569928 3655 309889 42953 0 109 0
1778905349.713946680	cpu1 310550 84287 496520 7728921 3748 144419 30308 0 94 0
1778905349.713946680	cpu2 223113 54445 305692 8220648 3085 39382 28912 0 102 0
1778905349.713946680	cpu3 224891 52720 311602 8221420 2963 39184 24265 0 124 0
1778905349.713946680	cpu4 235698 53833 322710 8203766 3101 41554 13445 0 30 0
1778905349.713946680	cpu5 116072 25107 109401 8642758 633 10894 3589 0 20 0
1778905349.713946680	cpu6 118849 22166 113230 8580034 607 33838 41385 0 21 0
1778905349.713946680	cpu7 69924 12898 49048 8784420 509 3763 903 0 31 0
1778905350.923098738	cpu  1578066 389916 2235693 65952532 18305 622941 185768 0 534 0
1778905350.923098738	cpu0 278894 84457 527323 7569961 3655 309895 42955 0 109 0
1778905350.923098738	cpu1 310574 84287 496580 7728955 3748 144423 30310 0 94 0
1778905350.923098738	cpu2 223118 54445 305703 8220751 3085 39383 28913 0 102 0
1778905350.923098738	cpu3 224908 52720 311633 8221491 2963 39185 24265 0 124 0
1778905350.923098738	cpu4 235701 53833 322722 8203869 3101 41555 13445 0 30 0
1778905350.923098738	cpu5 116075 25107 109412 8642865 633 10895 3589 0 20 0
1778905350.923098738	cpu6 118853 22166 113236 8580143 607 33839 41385 0 21 0
1778905350.923098738	cpu7 69940 12898 49079 8784493 509 3763 903 0 31 0
1778905352.113606317	cpu  1578199 389919 2235944 65953074 18306 622954 185772 0 534 0
1778905352.113606317	cpu0 278927 84457 527381 7569985 3655 309898 42956 0 109 0
1778905352.113606317	cpu1 310595 84287 496639 7728991 3748 144426 30311 0 94 0
1778905352.113606317	cpu2 223125 54445 305716 8220847 3085 39385 28914 0 102 0
1778905352.113606317	cpu3 224930 52720 311675 8221541 2963 39188 24265 0 124 0
1778905352.113606317	cpu4 235704 53835 322733 8203968 3101 41555 13446 0 30 0
1778905352.113606317	cpu5 116081 25107 109421 8642968 633 10895 3589 0 20 0
1778905352.113606317	cpu6 118876 22166 113262 8580211 607 33840 41385 0 21 0
1778905352.113606317	cpu7 69957 12898 49114 8784560 509 3764 904 0 31 0
1778905353.291096760	cpu  1578305 389921 2236175 65953644 18306 622968 185777 0 534 0
1778905353.291096760	cpu0 278950 84457 527450 7570003 3655 309903 42957 0 109 0
1778905353.291096760	cpu1 310618 84289 496690 7729026 3748 144429 30312 0 94 0
1778905353.291096760	cpu2 223129 54445 305728 8220944 3085 39386 28914 0 102 0
1778905353.291096760	cpu3 224944 52721 311709 8221608 2963 39189 24266 0 124 0
1778905353.291096760	cpu4 235710 53835 322741 8204068 3101 41556 13446 0 30 0
1778905353.291096760	cpu5 116085 25107 109428 8643073 633 10895 3589 0 20 0
1778905353.291096760	cpu6 118892 22166 113287 8580286 607 33841 41386 0 21 0
1778905353.291096760	cpu7 69974 12898 49138 8784633 509 3764 904 0 31 0
